date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
30/04/2017 01:30;809.0921;2094.485;401.3107;417.3929;11.71;23.36;PR
30/04/2017 11:00;710.6438;1811.8057;283.7519;289.2452;16.48;21.29;PR
30/04/2017 11:30;700.1327;1742.0257;300.907;306.6113;15.43;21.47;PR
30/04/2017 12:00;721.1587;1811.4163;286.8497;297.2163;16.47;21.1;PR
30/04/2017 12:30;781.5293;2046.0363;281.7797;295.0327;16.33;21.3;PR
30/04/2017 13:00;761.3427;2053.74;292.3423;299.0997;15.67;21.33;PR
30/04/2017 13:30;829.066;2329.0403;295.419;304.8427;14.97;21.93;PR
30/04/2017 14:00;808.544;2228.7827;302.006;316.19;15.23;21.77;PR
30/04/2017 14:30;792.1293;2236.9577;294.64;316.5033;15.07;21.67;PR
30/04/2017 15:00;810.88;2187.8993;305.8337;321.2647;15.7;21.2;PR
30/04/2017 15:30;877.6973;2453.815;314.766;326.006;15.87;21.33;PR
30/04/2017 16:00;906.28;2628.1637;326.128;339.998;15.67;21.33;PR
30/04/2017 16:30;754.8187;2076.0917;325.0193;347.563;15.6;21.3;PR
30/04/2017 17:00;703.508;1959.935;334.1557;353.5937;15.23;21.67;PR
30/04/2017 17:30;741.9357;1958.5667;318.5287;336.677;14.6;22.3;PR
30/04/2017 18:00;647.9157;1666.4307;315.2063;321.2353;14.27;22.2;PR
30/04/2017 18:30;597.9977;1516.3757;287.6353;309.4377;14.47;22.37;PR
30/04/2017 19:00;533.2323;1485.3517;289.9193;318.2683;13.8;22.37;PR
30/04/2017 19:30;409.7593;1282.1953;302.7557;314.187;13.87;22.83;PR
30/04/2017 20:00;469.3263;1233.7377;261.2353;305.3567;13.3;22.13;PR
30/04/2017 20:30;586.427;1648.606;303.8073;366.2923;12.97;22.77;PR
30/04/2017 21:00;718.5224;2157.0103;345.6197;400.5683;12.21;22.9;PR
30/04/2017 21:30;779.3687;2466.9547;365.0123;422.596;12.27;23.17;PR
30/04/2017 22:00;919.4487;2836.5057;377.6923;440.7203;12.27;23.13;PR
30/04/2017 22:30;1074.8347;3297.9593;437.1877;532.5957;12.33;23.2;PR
30/04/2017 23:00;1246.3757;3968.4433;490.4707;557.581;12.13;23.07;PR
30/04/2017 23:30;1051.0607;4105.918;480.6033;525.6733;12.33;23.17;PR
01/05/2017 00:00;1112.1057;3780.4433;472.5673;511.4977;12.13;23.1;PR
01/05/2017 00:30;1123.1747;3574.665;414.644;487.8007;12.1;23.1;PR
01/05/2017 01:00;988.8337;3328.271;378.4873;476.1873;11.63;23.23;PR
01/05/2017 01:30;858.55;2630.2021;305.2436;426.3179;10.29;24.14;PR
01/05/2017 02:00;943.5533;2685.959;340.3473;453.3293;10.03;24.03;PR
01/05/2017 02:30;881.193;2669.319;343.7673;433.326;10.1;24.1;PR
01/05/2017 03:00;895.0753;2530.2723;334.826;427.6037;9.27;24.17;PR
01/05/2017 03:30;923.3933;2640.2197;359.9953;431.266;9.07;24.03;PR
01/05/2017 04:00;902.691;2603.2013;353.4717;438.7953;9.13;24.07;PR
01/05/2017 04:30;993.872;2913.621;387.8867;466.0577;9.2;24.2;PR
01/05/2017 05:00;1059.224;3209.0283;397.5643;473.453;8.27;24.73;PR
01/05/2017 05:30;797.986;2689.173;344.4607;418.9183;8.87;24.33;PR
01/05/2017 06:00;730.709;2249.2937;291.072;369.179;9.07;24.0;PR
01/05/2017 06:30;684.641;2144.1817;267.233;349.8483;10.93;23.53;PR
01/05/2017 07:00;708.1727;1981.3437;205.996;314.3677;17.83;20.8;PR
01/05/2017 07:30;864.675;2139.4437;260.995;349.963;12.87;22.43;PR
01/05/2017 08:00;809.7763;2372.8013;295.4783;387.9547;13.9;21.77;PR
01/05/2017 08:30;764.5;2095.9383;239.4197;335.6673;18.73;20.43;PR
01/05/2017 09:00;864.0403;2625.4153;305.52;371.0153;15.57;21.57;PR
01/05/2017 09:30;921.6797;2351.8653;302.5767;374.1527;14.83;21.77;PR
01/05/2017 10:00;948.9917;2474.7838;311.5617;378.83;16.66;20.86;PR
01/05/2017 10:30;1128.0277;3213.135;348.6583;403.983;15.43;21.3;PR
01/05/2017 11:00;1089.3027;3258.253;319.7127;379.955;17.2;20.47;PR
01/05/2017 11:30;1124.0303;3385.539;358.0563;404.834;16.3;20.83;PR
01/05/2017 12:00;1163.9607;3391.147;346.9507;409.3967;17.6;20.33;PR
01/05/2017 12:30;1086.998;3220.726;341.807;410.7863;17.77;20.23;PR
01/05/2017 13:00;1142.7533;3475.283;342.3657;391.9377;17.67;20.17;PR
01/05/2017 13:30;1211.3197;3614.262;346.6953;403.519;18.93;20.03;PR
01/05/2017 14:00;1256.9087;3636.326;369.6617;410.0497;18.07;20.47;PR
01/05/2017 14:30;1208.1077;3661.1303;349.91;400.704;18.43;20.4;PR
01/05/2017 15:00;1266.9757;3735.5823;431.9817;452.1783;15.47;21.23;PR
01/05/2017 15:30;1254.331;3945.6507;451.0913;463.395;14.4;22.2;PR
01/05/2017 16:00;1279.467;4179.0493;440.743;457.0753;14.53;22.27;PR
01/05/2017 16:30;1282.8863;4085.286;401.673;438.2463;14.13;22.07;PR
01/05/2017 17:00;1342.0727;4694.9413;377.973;412.7583;14.17;22.13;PR
01/05/2017 17:30;1260.5577;4189.6643;383.5693;385.8143;13.27;22.1;PR
01/05/2017 18:00;1196.829;4061.2323;397.345;443.337;13.2;22.2;PR
01/05/2017 18:30;1152.3033;3810.4633;370.345;404.1547;13.17;22.33;PR
01/05/2017 19:00;889.579;2961.0623;358.601;394.2927;12.13;22.97;PR
01/05/2017 19:30;878.845;2570.5413;357.2443;400.0347;12.1;23.1;PR
01/05/2017 20:00;751.6167;2180.1997;357.7433;385.0973;11.8;23.07;PR
01/05/2017 20:30;568.5923;1754.2637;256.693;301.4633;11.13;23.07;PR
01/05/2017 21:00;481.257;1579.468;257.5143;292.405;11.0;23.0;PR
01/05/2017 21:30;576.659;1890.044;289.6407;349.1063;11.03;23.07;PR
01/05/2017 22:00;591.7457;1881.5633;309.85;359.7517;10.43;23.97;PR
01/05/2017 22:30;652.7753;1583.6653;240.6353;334.0633;9.87;24.03;PR
01/05/2017 23:00;579.4167;1754.3977;263.6787;323.5237;9.0;24.0;PR
01/05/2017 23:30;559.806;1752.934;205.893;291.1353;9.0;24.0;PR
02/05/2017 00:00;453.9613;1429.5413;157.5447;235.1507;8.97;24.23;PR
02/05/2017 00:30;354.281;1051.6253;95.2613;169.6213;8.07;25.03;PR
02/05/2017 01:00;355.967;1073.381;113.9297;192.8073;8.07;25.03;PR
