date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 14:00;132.5878;329.4878;26.905;18.7567;26.61;29.39;PR
06/04/2017 14:30;333.5623;656.9353;64.501;31.9017;21.9;29.07;PR
06/04/2017 15:00;434.638;821.914;82.4507;43.5827;20.83;28.4;PR
06/04/2017 15:30;482.749;891.9787;94.035;63.3253;19.9;27.97;PR
06/04/2017 16:00;450.4927;774.6427;67.348;54.8167;19.63;27.67;PR
06/04/2017 16:30;358.201;593.7113;43.234;35.3387;19.0;28.4;PR
06/04/2017 17:00;365.7367;584.4837;46.583;39.601;17.97;27.0;PR
06/04/2017 17:30;242.355;399.945;24.743;24.8277;17.2;27.0;PR
06/04/2017 18:00;268.258;406.4227;29.9387;31.957;17.17;29.0;PR
06/04/2017 18:30;251.3563;381.089;26.471;25.615;15.9;26.3;PR
06/04/2017 19:00;206.082;331.7307;25.306;20.7753;16.07;28.73;PR
06/04/2017 19:30;216.339;358.2403;33.5863;27.693;14.5;25.67;PR
06/04/2017 20:00;336.6687;539.5377;63.0767;58.2353;14.2;26.9;PR
06/04/2017 20:30;328.5797;557.1517;47.825;46.2613;13.8;26.93;PR
06/04/2017 21:00;263.0077;483.938;38.4877;32.1887;13.9;27.3;PR
06/04/2017 21:30;235.064;416.5173;26.1047;25.7887;13.97;28.97;PR
06/04/2017 22:00;188.7763;301.925;19.1597;17.9843;12.5;26.67;PR
06/04/2017 22:30;120.562;188.1223;15.7443;14.139;12.53;27.37;PR
06/04/2017 23:00;203.7577;258.8303;22.7003;26.649;11.6;27.2;PR
06/04/2017 23:30;297.0487;398.3023;47.4523;29.167;11.4;26.47;PR
07/04/2017 00:00;387.0977;548.5403;48.187;38.1503;11.8;27.93;PR
07/04/2017 00:30;375.604;573.985;48.7887;29.054;11.3;26.1;PR
07/04/2017 12:00;319.472;516.409;78.783;40.039;24.0;30.8;PR
07/04/2017 12:30;435.7253;674.936;127.1867;60.774;23.1;31.0;PR
07/04/2017 13:00;390.7893;633.697;106.0217;63.8417;23.07;31.17;PR
07/04/2017 13:30;431.4153;712.136;120.46;89.025;24.37;30.63;PR
07/04/2017 14:00;435.1107;719.1077;127.9303;94.875;25.2;30.17;PR
07/04/2017 14:30;492.768;816.8577;194.042;127.345;21.47;31.9;PR
07/04/2017 15:00;554.8543;876.9677;208.33;128.7033;19.77;32.97;PR
07/04/2017 15:30;582.0677;921.7027;212.0827;135.3677;18.9;32.67;PR
07/04/2017 16:00;546.3353;863.656;183.86;154.2493;18.77;32.37;PR
07/04/2017 16:30;531.1047;820.936;184.0163;138.7603;18.23;33.33;PR
07/04/2017 17:00;476.6507;746.5377;156.8697;139.8203;17.4;31.8;PR
07/04/2017 17:30;437.7067;671.893;131.8537;110.764;16.9;29.97;PR
07/04/2017 18:00;393.7367;614.1423;116.276;97.5883;16.63;30.9;PR
07/04/2017 18:30;339.2997;537.0497;88.7333;88.336;15.0;29.6;PR
07/04/2017 19:00;286.8363;436.8847;56.2177;58.9107;13.47;28.4;PR
07/04/2017 19:30;225.2653;348.174;40.179;39.8293;13.1;28.67;PR
07/04/2017 20:00;255.7123;386.392;58.629;69.6787;12.9;28.0;PR
