date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 14:00;98.366;80.4405;111.674;30.312;22.1;33.7;PR
06/04/2017 14:30;230.6387;159.566;167.8503;49.292;21.0;34.1;PR
06/04/2017 15:00;290.9337;233.0493;189.209;59.4133;21.0;34.37;PR
06/04/2017 15:30;343.6077;278.3207;213.9057;73.0403;21.0;34.4;PR
06/04/2017 16:00;275.454;277.0753;169.879;52.5327;20.53;35.07;PR
06/04/2017 16:30;167.6643;211.659;114.4357;35.5083;19.53;37.67;PR
06/04/2017 17:00;160.9467;225.158;115.133;35.2197;19.0;43.73;PR
06/04/2017 18:00;90.2329;155.11;75.0914;27.3721;18.0;50.57;PR
06/04/2017 18:30;91.0693;153.262;64.0577;22.914;17.7;51.4;PR
06/04/2017 19:00;68.3603;103.1313;55.6103;19.8473;17.27;52.97;PR
06/04/2017 19:30;71.8957;105.898;66.5977;26.0203;16.77;53.93;PR
06/04/2017 20:00;141.259;192.9213;133.387;53.994;16.0;56.5;PR
06/04/2017 20:30;135.7853;202.6103;105.4857;44.8747;16.0;60.93;PR
06/04/2017 21:00;99.5617;175.7067;74.3;30.947;15.2;62.37;PR
06/04/2017 21:30;77.512;154.5553;53.0087;26.6323;15.0;63.0;PR
06/04/2017 22:00;58.9903;129.499;31.3413;18.2897;15.0;62.7;PR
06/04/2017 22:30;43.1467;75.9467;20.4403;13.51;14.63;59.97;PR
06/04/2017 23:00;58.8637;148.9723;42.0767;25.2193;14.0;55.87;PR
06/04/2017 23:30;85.0823;267.8057;72.776;48.1477;14.0;53.17;PR
07/04/2017 00:00;120.0713;397.5667;100.6043;63.548;14.0;53.0;PR
07/04/2017 00:30;126.625;349.0737;102.6297;58.548;14.0;53.0;PR
07/04/2017 01:30;209.3437;426.7212;185.2263;112.1875;13.0;54.0;PR
07/04/2017 02:00;236.93;452.431;198.356;114.3807;13.0;53.5;PR
07/04/2017 02:30;250.3407;471.247;188.8727;113.6687;13.0;53.0;PR
07/04/2017 03:00;227.921;440.949;174.0597;106.5663;13.0;53.0;PR
07/04/2017 03:30;161.6757;363.4853;106.4343;65.5683;12.93;53.07;PR
07/04/2017 04:00;61.499;177.9783;28.6883;17.285;12.6;53.7;PR
07/04/2017 04:30;38.9993;77.0093;15.1433;11.1433;12.27;55.43;PR
07/04/2017 05:00;47.7053;82.841;36.472;28.431;12.87;54.43;PR
07/04/2017 05:30;118.791;295.699;123.635;79.4397;13.53;51.53;PR
07/04/2017 06:00;73.5493;188.8177;64.8423;42.8287;13.37;51.0;PR
07/04/2017 06:30;72.8897;181.793;49.103;35.8233;16.77;48.0;PR
07/04/2017 07:00;37.9528;70.2479;13.6648;12.6879;21.9;37.79;PR
07/04/2017 07:30;59.8133;101.478;29.037;35.2567;27.0;31.73;PR
07/04/2017 08:00;70.7397;110.2273;26.6863;34.8683;30.23;29.53;PR
07/04/2017 08:30;79.5703;110.8587;32.7073;45.3563;31.73;29.0;PR
07/04/2017 09:00;71.165;102.6573;23.0583;33.7163;33.2;28.1;PR
07/04/2017 09:30;80.2863;107.6187;26.5763;41.251;33.83;27.83;PR
07/04/2017 10:00;91.5583;143.5867;27.109;46.607;33.73;28.03;PR
07/04/2017 10:30;97.4863;116.1127;68.2263;52.122;31.17;29.27;PR
07/04/2017 11:00;149.8013;94.886;131.0447;72.7137;26.07;31.77;PR
07/04/2017 11:30;137.144;62.3513;114.0627;66.9213;24.0;33.0;PR
07/04/2017 12:00;162.8833;65.638;152.326;88.5987;23.83;33.0;PR
07/04/2017 12:30;246.375;88.9717;238.4623;142.5997;23.8;33.0;PR
07/04/2017 13:30;305.9529;115.4759;273.8224;156.9871;22.88;33.18;PR
07/04/2017 14:00;306.3533;137.7707;274.8393;183.988;20.87;34.8;PR
07/04/2017 14:30;334.5047;189.731;293.4343;196.1863;20.0;38.3;PR
07/04/2017 15:00;369.8097;207.1933;319.917;214.127;19.03;40.17;PR
07/04/2017 15:30;369.6133;260.367;334.864;224.9423;18.5;41.93;PR
07/04/2017 16:00;311.727;279.219;292.949;193.3983;18.0;42.57;PR
07/04/2017 16:30;283.579;269.991;280.3653;185.663;18.0;43.0;PR
07/04/2017 17:00;254.7297;256.2543;239.851;155.385;18.0;43.03;PR
07/04/2017 17:30;215.6377;219.0003;208.0207;128.81;17.0;43.2;PR
07/04/2017 18:00;176.8993;173.3943;183.0153;110.156;17.0;43.9;PR
07/04/2017 18:30;133.8517;143.414;137.2307;84.9817;16.17;46.13;PR
07/04/2017 19:00;102.331;122.2507;98.7897;63.156;15.27;48.23;PR
07/04/2017 19:30;72.9543;98.1753;67.0083;46.2733;15.0;49.67;PR
07/04/2017 20:00;83.474;117.4893;94.5403;67.3483;14.73;51.03;PR
07/04/2017 20:30;144.6203;202.9567;183.4057;135.495;14.0;52.53;PR
07/04/2017 21:00;184.037;261.5933;203.933;156.561;14.0;54.4;PR
07/04/2017 21:30;110.7773;171.1233;97.663;72.5343;14.0;56.17;PR
07/04/2017 22:00;94.7907;184.3943;107.831;92.2763;14.0;57.77;PR
07/04/2017 22:30;87.511;200.516;90.796;74.181;13.23;60.87;PR
07/04/2017 23:00;69.6657;182.4163;78.073;61.3513;13.0;63.37;PR
07/04/2017 23:30;75.6207;196.532;88.3743;70.728;13.0;64.0;PR
08/04/2017 00:00;60.7407;141.9897;57.9067;43.5537;13.0;64.33;PR
08/04/2017 00:30;45.1937;91.8623;30.052;23.131;13.0;65.63;PR
08/04/2017 01:30;31.1546;35.1338;14.0015;11.0638;12.92;68.0;PR
08/04/2017 02:00;29.7833;31.4517;13.1497;10.3143;12.83;68.23;PR
08/04/2017 02:30;28.359;28.9127;12.1213;9.6613;12.8;69.2;PR
08/04/2017 03:00;28.8247;28.3667;12.1773;9.6917;13.0;69.0;PR
08/04/2017 03:30;29.1157;28.539;12.4933;9.9273;12.23;69.77;PR
08/04/2017 04:00;29.3673;29.0737;12.7813;10.131;12.0;70.0;PR
08/04/2017 04:30;28.284;28.1897;12.1227;9.628;12.0;70.0;PR
08/04/2017 05:00;26.9167;27.251;11.5313;9.2323;12.0;70.0;PR
08/04/2017 05:30;26.5997;27.3547;11.497;9.1873;12.0;70.0;PR
08/04/2017 06:00;27.976;30.305;12.6573;10.18;12.53;68.63;PR
08/04/2017 06:30;26.2933;27.894;11.7417;9.2507;16.9;58.77;PR
08/04/2017 07:00;24.271;21.9;9.5547;8.3947;20.7;45.63;PR
08/04/2017 07:30;28.647;26.4073;12.705;11.2887;27.0;33.83;PR
08/04/2017 08:00;28.5263;25.416;12.2803;11.3297;30.27;29.63;PR
08/04/2017 08:30;46.095;43.8433;38.431;40.112;32.83;28.3;PR
08/04/2017 09:00;95.5443;69.527;110.7;81.5663;30.4;29.63;PR
08/04/2017 09:30;203.107;111.442;214.3093;164.123;29.73;29.87;PR
08/04/2017 10:00;122.4883;77.9673;122.1283;87.6757;30.5;29.57;PR
08/04/2017 10:30;134.268;73.1723;165.7563;116.792;29.43;30.07;PR
08/04/2017 11:00;252.2137;134.9997;266.139;184.411;27.5;31.0;PR
08/04/2017 11:30;339.2303;147.9073;318.6827;214.791;26.3;31.5;PR
08/04/2017 12:00;413.518;132.2723;375.6187;254.399;26.03;31.97;PR
08/04/2017 12:30;369.4203;156.033;328.3183;235.678;27.3;31.0;PR
08/04/2017 13:00;454.8983;128.0453;407.4937;273.5607;26.0;31.8;PR
08/04/2017 13:30;402.5627;96.8443;362.098;223.9547;25.97;31.8;PR
08/04/2017 14:00;404.6047;112.6083;372.3993;276.43;24.03;32.73;PR
08/04/2017 14:30;463.651;164.0187;428.0747;326.672;22.27;33.73;PR
08/04/2017 15:00;437.8453;202.3013;401.0503;308.5293;22.0;34.0;PR
08/04/2017 15:30;507.6013;253.4707;460.9753;362.4007;21.07;34.03;PR
08/04/2017 16:00;480.0763;348.9697;440.0873;351.17;21.0;34.0;PR
08/04/2017 16:30;552.263;338.486;499.601;398.8107;20.4;34.6;PR
08/04/2017 17:00;445.9283;323.8557;397.7877;319.7763;19.47;35.7;PR
08/04/2017 17:30;421.905;377.3183;395.1753;317.5317;19.0;36.0;PR
08/04/2017 18:00;408.5473;420.9693;365.8187;298.672;18.03;37.3;PR
08/04/2017 18:30;310.1783;372.601;290.2543;237.037;16.83;39.9;PR
08/04/2017 19:00;261.322;343.9873;256.1993;217.0587;16.0;44.3;PR
08/04/2017 19:30;202.462;265.0377;211.3647;173.0287;15.43;46.3;PR
08/04/2017 20:30;54.1555;91.9438;32.9097;22.7793;15.0;47.48;PR
08/04/2017 21:00;36.551;42.9063;17.371;13.4517;14.8;48.17;PR
08/04/2017 21:30;34.8857;35.5867;16.9223;13.6177;14.1;48.07;PR
08/04/2017 22:00;38.4603;45.7503;22.8727;19.7623;14.0;46.17;PR
08/04/2017 22:30;46.7737;81.3473;40.387;32.272;14.0;45.0;PR
08/04/2017 23:00;58.3207;130.209;63.2517;52.966;13.73;44.2;PR
08/04/2017 23:30;43.0467;91.0347;28.5697;21.7273;13.0;44.0;PR
09/04/2017 00:00;46.7713;96.6733;38.7073;33.9667;13.0;44.07;PR
09/04/2017 00:30;53.8207;120.2537;48.8373;43.5827;13.0;43.73;PR
09/04/2017 01:30;71.6642;227.7625;86.4083;81.8367;13.0;43.0;PR
09/04/2017 02:00;107.1983;357.6613;163.7187;155.5917;12.93;43.27;PR
09/04/2017 02:30;125.4843;490.868;168.2657;157.0547;13.0;43.63;PR
09/04/2017 03:00;136.1397;528.6807;186.4893;176.0913;12.7;44.27;PR
09/04/2017 03:30;127.0003;468.941;171.0933;155.8123;12.2;44.27;PR
09/04/2017 04:00;62.0263;255.4127;60.9823;45.2503;12.9;43.63;PR
09/04/2017 04:30;35.795;99.5043;18.4687;14.3783;12.03;45.9;PR
09/04/2017 05:00;31.317;52.7617;14.9397;11.9847;12.0;47.87;PR
09/04/2017 05:30;31.774;43.3457;15.469;12.5397;12.0;49.0;PR
09/04/2017 06:00;32.332;40.0397;16.2243;13.356;12.2;49.8;PR
09/04/2017 06:30;31.915;35.4543;16.0387;13.3803;16.7;44.9;PR
09/04/2017 07:00;33.0547;34.15;15.099;15.4937;18.9;38.0;PR
09/04/2017 07:30;59.682;73.34;53.7493;59.166;25.63;32.6;PR
09/04/2017 08:00;73.119;93.5307;81.8543;81.722;27.77;30.87;PR
09/04/2017 08:30;106.564;106.324;129.781;123.7533;28.4;30.73;PR
09/04/2017 09:00;120.8407;126.792;105.5297;125.1587;31.67;29.07;PR
09/04/2017 09:30;161.5167;138.939;184.234;157.333;30.33;29.7;PR
09/04/2017 10:00;181.4983;108.157;216.0577;168.8623;28.83;30.47;PR
09/04/2017 10:30;245.5467;120.774;271.4133;215.2497;27.93;30.8;PR
09/04/2017 11:00;293.1187;128.115;314.447;235.7927;25.83;32.33;PR
09/04/2017 11:30;353.389;119.4463;359.8653;274.1477;24.73;32.73;PR
09/04/2017 12:00;384.8513;129.432;379.376;280.5853;24.53;32.63;PR
09/04/2017 12:30;341.3957;138.3793;345.9673;258.8117;26.03;31.87;PR
09/04/2017 13:00;363.7493;111.842;368.0187;266.9537;25.37;32.1;PR
09/04/2017 13:30;410.2683;107.2377;415.3653;300.3657;23.73;33.7;PR
09/04/2017 14:00;417.56;140.4577;417.3613;329.7613;22.0;35.43;PR
09/04/2017 14:30;427.3047;186.923;425.6017;339.9203;21.0;37.13;PR
09/04/2017 15:00;410.988;222.865;407.722;333.7067;21.0;38.03;PR
09/04/2017 15:30;413.4293;244.501;427.3013;344.5143;20.63;37.57;PR
09/04/2017 16:00;433.5855;230.5548;443.6021;360.3714;20.0;38.0;PR
