date;s1_o3;s2_o3;s3_o3;s4_o3;s_temp;s_rh;location 
06/04/2017 12:00;16.1032;29.8474;10.9221;7.3953;28.0;27.79;PR
06/04/2017 12:30;18.508;30.866;11.324;8.282;28.0;28.0;PR
06/04/2017 14:00;188.4152;69.8535;44.7074;98.2983;21.87;30.87;PR
06/04/2017 14:30;303.108;96.8033;62.3387;157.2913;21.0;31.0;PR
06/04/2017 15:00;352.0443;113.9573;70.4427;178.036;21.0;31.0;PR
06/04/2017 15:30;395.4033;134.1837;79.4173;200.4863;21.0;31.0;PR
06/04/2017 16:00;329.4557;150.042;67.0907;162.984;20.6;31.4;PR
06/04/2017 16:30;238.259;155.3253;53.0507;116.505;19.73;32.0;PR
06/04/2017 17:00;246.4221;165.1734;53.631;121.799;19.0;32.0;PR
06/04/2017 17:30;154.8643;154.768;36.0873;62.1677;18.87;32.13;PR
06/04/2017 18:00;177.9323;154.15;42.453;80.27;18.0;33.0;PR
06/04/2017 18:30;175.9467;153.8453;38.7323;69.9223;18.0;33.0;PR
06/04/2017 19:00;136.4387;137.0453;34.7633;54.909;17.47;33.0;PR
06/04/2017 19:30;150.5353;130.348;40.7973;65.9893;17.0;33.0;PR
06/04/2017 20:00;252.981;144.6203;62.6777;129.3073;16.23;33.77;PR
06/04/2017 20:30;245.8473;153.464;56.7163;114.2103;16.0;34.0;PR
06/04/2017 21:00;199.647;154.119;46.2077;81.123;15.9;34.0;PR
06/04/2017 21:30;173.8383;149.5707;41.9013;67.5413;15.37;34.0;PR
06/04/2017 22:00;126.0253;142.871;32.1407;45.7803;15.0;34.0;PR
06/04/2017 22:30;75.3553;122.6223;25.8113;27.7;14.93;34.07;PR
06/04/2017 23:00;132.893;136.9077;40.607;59.0533;14.0;35.0;PR
06/04/2017 23:30;204.3107;157.6557;55.929;101.3883;14.0;35.0;PR
07/04/2017 00:00;267.2343;178.876;69.2273;133.8993;14.0;35.0;PR
07/04/2017 00:30;265.6037;190.0337;64.659;126.8767;14.0;35.0;PR
07/04/2017 01:00;287.9227;200.1087;72.2817;142.431;13.4;35.0;PR
07/04/2017 01:30;341.1818;214.2724;91.0547;194.9435;13.0;35.0;PR
07/04/2017 02:00;364.504;223.4503;94.6687;199.1833;13.0;35.0;PR
07/04/2017 02:30;380.8163;230.5797;90.978;200.8327;13.0;35.0;PR
07/04/2017 03:00;368.1457;234.495;87.58;189.7697;13.0;35.0;PR
07/04/2017 03:30;289.0367;231.522;64.7037;131.3467;13.0;35.0;PR
07/04/2017 04:00;129.707;199.4443;32.0917;38.6083;12.77;35.23;PR
07/04/2017 04:30;60.5837;146.0257;21.501;20.2757;12.7;35.3;PR
07/04/2017 05:00;79.067;118.0117;34.7537;43.991;13.0;35.0;PR
07/04/2017 05:30;236.4487;153.297;74.2297;142.0243;13.73;35.0;PR
